vendor_id,business_name,category,location_type,total_gmv,avg_ticket_size,transaction_count,repeat_customer_rate,refund_rate_estimate,payment_method_mix,revenue_volatility_score,weekend_sales_ratio,late_night_sales_ratio,risk_score
1062,Pierce and Sons,Wellness,pop_up,11622.88,59.6,195,0.6718,0.0775,mixed,0.7971,0.3472,0.1463,0.3468
1063,Ochoa-Santana,Home,pop_up,3830.01,35.14,109,0.578,0.0696,digital_wallet_heavy,0.4218,0.2847,0.1892,0.3162
1064,"Nelson, Jefferson and Jimenez",Wellness,home_based,10078.94,56.62,178,0.6236,0.0755,digital_wallet_heavy,0.6872,0.485,0.0743,0.3483
1065,Morgan-Valencia,Wellness,mall,4202.25,36.86,114,0.614,0.0531,digital_wallet_heavy,0.893,0.27,0.1796,0.3875
1066,Nelson Ltd,Beauty,mall,9571.92,55.65,172,0.686,0.0714,digital_wallet_heavy,0.7185,0.5485,0.2256,0.3221
1067,Gregory PLC,Education,home_based,854.03,25.88,33,0.3333,0.0352,digital_wallet_heavy,0.4055,0.6047,0.2525,0.425
1068,"Rodgers, Schwartz and Pena",Fashion,home_based,4491.84,37.75,119,0.4622,0.0707,digital_wallet_heavy,0.8393,0.4557,0.1754,0.458
1069,Johnson-Carr,Food,home_based,9086.05,57.87,157,0.7516,0.0659,card_dominant,0.655,0.551,0.2489,0.275
1070,Olsen-Morris,Crafts,standalone,11340.02,56.99,199,0.6884,0.0723,mixed,0.4366,0.3878,0.0735,0.2648
1071,Meyer Inc,Crafts,mall,790.5,24.7,32,0.4688,0.0505,mixed,0.2252,0.4328,0.1857,0.3258
1072,"Adams, Goodman and Adkins",Education,home_based,1352.36,26.52,51,0.3529,0.0301,digital_wallet_heavy,0.6136,0.2153,0.0593,0.4553
1073,Martin and Sons,Food,standalone,3513.67,38.61,91,0.6044,0.0676,digital_wallet_heavy,0.4521,0.2635,0.1806,0.3085
1074,Zamora Group,Crafts,mall,1761.87,24.14,73,0.2192,0.0639,digital_wallet_heavy,0.3511,0.5114,0.0713,0.4798
1075,"Martin, Reilly and Ali",Beauty,home_based,3457.5,40.2,86,0.3953,0.0136,digital_wallet_heavy,0.5719,0.4703,0.2094,0.4208
1076,Jackson-Baker,Wellness,standalone,3577.09,38.46,93,0.3548,0.0608,digital_wallet_heavy,0.8831,0.4582,0.1307,0.5175
1077,Wright-Bullock,Fashion,home_based,3952.42,39.13,101,0.5842,0.0657,card_dominant,0.3896,0.4195,0.0696,0.3055
1078,Watts Group,Crafts,mall,845.38,21.68,39,0.4359,0.0118,card_dominant,0.8739,0.618,0.224,0.4604
1079,"Galvan, Reed and Wilson",Food,home_based,3196.92,38.06,84,0.6429,0.0386,digital_wallet_heavy,0.3213,0.2782,0.1126,0.2544
1080,"Flores, Leon and James",Food,mall,1067.07,23.71,45,0.2667,0.0484,mixed,0.7002,0.5301,0.12,0.5212
1081,Reyes PLC,Pets,home_based,21469.37,82.26,261,0.9425,0.0768,card_dominant,0.7165,0.4772,0.2029,0.1951
1082,"Harris, Leach and Jones",Tech_Accessories,standalone,18934.87,79.23,239,0.8201,0.0394,mixed,0.3734,0.378,0.2395,0.1764
1083,Scott-Best,Food,standalone,10031.07,58.66,171,0.5906,0.011,card_dominant,0.2813,0.223,0.0602,0.2643
1084,Garcia-Lozano,Education,mall,15183.36,81.63,186,0.8978,0.0699,digital_wallet_heavy,0.6926,0.4371,0.0745,0.2106
1085,"Scott, Mcclain and Morrison",Home,pop_up,18892.63,79.38,238,0.8277,0.0444,card_dominant,0.5314,0.2866,0.1585,0.2058
1086,Wilcox Group,Wellness,standalone,4920.55,36.45,135,0.4222,0.0379,card_dominant,0.6311,0.5175,0.0613,0.4265
1087,Chang-Macdonald,Fashion,pop_up,3666.4,39.0,94,0.5851,0.0362,card_dominant,0.6381,0.4516,0.2641,0.3459
1088,Nunez-Baker,Crafts,standalone,4124.4,37.84,109,0.3853,0.0561,digital_wallet_heavy,0.3141,0.2353,0.2106,0.387
1089,Horton Group,Food,pop_up,1164.13,26.46,44,0.4545,0.0119,mixed,0.61,0.6701,0.1939,0.3983
1090,Salazar Ltd,Home,standalone,1195.21,24.9,48,0.375,0.0372,card_dominant,0.6503,0.4291,0.1864,0.4537
1091,Walker-Davis,Crafts,home_based,3276.2,35.61,92,0.5,0.0759,digital_wallet_heavy,0.4703,0.6806,0.2763,0.3668
1092,Evans-Rhodes,Fitness,home_based,4179.12,41.38,101,0.4554,0.0237,mixed,0.2486,0.2504,0.0546,0.3291
1093,"Summers, Morris and Foster",Home,pop_up,19533.76,80.39,243,0.8148,0.0166,mixed,0.6781,0.2356,0.1297,0.2332
1094,"Wise, Pittman and Dixon",Tech_Accessories,standalone,3018.71,36.81,82,0.3659,0.0691,card_dominant,0.2163,0.6072,0.1205,0.381
1095,"Watkins, Woods and Bentley",Beauty,mall,4116.21,35.79,115,0.5913,0.0183,card_dominant,0.6877,0.5145,0.2694,0.3474
1096,"Hernandez, Hardy and Cunningham",Pets,mall,3706.52,40.73,91,0.5055,0.0615,mixed,0.7624,0.341,0.0944,0.4182
1097,Sullivan Ltd,Tech_Accessories,standalone,3749.4,37.49,100,0.64,0.0625,digital_wallet_heavy,0.7648,0.6953,0.1532,0.3517
1098,"Bell, Williams and Gonzalez",Wellness,standalone,1415.62,23.99,59,0.3051,0.036,digital_wallet_heavy,0.7435,0.3704,0.2827,0.507
1099,"Ramirez, Collins and Mcintosh",Beauty,mall,18641.29,80.7,231,0.8355,0.0701,card_dominant,0.5003,0.5754,0.2386,0.2033
1100,"Garcia, Wilson and Smith",Fashion,mall,1028.74,24.49,42,0.5238,0.0172,digital_wallet_heavy,0.8318,0.4526,0.2566,0.4096
1101,Ayala LLC,Education,mall,9736.06,55.63,175,0.6171,0.0324,card_dominant,0.8269,0.3946,0.0527,0.3666
1102,"Coleman, Adams and Evans",Beauty,home_based,1215.1,25.31,48,0.3333,0.0734,card_dominant,0.2639,0.3597,0.2875,0.4082
1103,Castillo and Sons,Fitness,standalone,3551.54,38.6,92,0.3587,0.0765,card_dominant,0.6014,0.5159,0.1621,0.4639
1104,Williams-Richardson,Wellness,pop_up,4396.34,39.25,112,0.5446,0.0305,mixed,0.4301,0.5363,0.2381,0.3229
1105,Torres PLC,Food,standalone,21843.58,79.72,274,0.8796,0.0654,card_dominant,0.7527,0.2456,0.1736,0.2304
1106,"Wilson, Vaughan and Lester",Tech_Accessories,pop_up,1886.43,25.49,74,0.4595,0.014,digital_wallet_heavy,0.5847,0.4208,0.2719,0.3914
1107,Parker Inc,Fitness,pop_up,1800.84,24.67,73,0.5753,0.0346,card_dominant,0.2819,0.2715,0.2404,0.2791
1108,Maddox-Lloyd,Fitness,standalone,3596.81,40.87,88,0.625,0.0533,mixed,0.2708,0.2421,0.2252,0.2576
1109,Potter PLC,Education,mall,7269.76,57.24,127,0.7008,0.0151,card_dominant,0.7753,0.5531,0.0703,0.3092
1110,Vaughn LLC,Pets,pop_up,4439.29,38.94,114,0.5439,0.0159,digital_wallet_heavy,0.8906,0.3871,0.1427,0.4109
1111,"Romero, West and Vaughn",Fitness,pop_up,10900.78,56.19,194,0.6856,0.0669,mixed,0.8631,0.693,0.2383,0.3499
1112,"Bush, Dean and Beard",Wellness,pop_up,4236.28,38.51,110,0.6545,0.0363,mixed,0.2585,0.5886,0.1896,0.2353
1113,Chavez-Pineda,Pets,mall,15925.18,80.84,197,0.868,0.0397,digital_wallet_heavy,0.8344,0.2556,0.1732,0.2448
1114,"Larson, Bridges and Soto",Fitness,mall,908.16,25.23,36,0.3889,0.0108,digital_wallet_heavy,0.5281,0.2282,0.0797,0.4144
1115,Fernandez-Mora,Fitness,pop_up,9657.2,60.36,160,0.85,0.0182,card_dominant,0.6544,0.573,0.1958,0.2113
1116,"Hardy, Powell and Pollard",Fitness,home_based,950.58,25.69,37,0.2162,0.0774,digital_wallet_heavy,0.4624,0.3429,0.2671,0.5076
1117,Lopez-Smith,Beauty,standalone,16436.55,80.57,204,0.799,0.0257,card_dominant,0.8743,0.2061,0.2925,0.2831
1118,Gonzalez-Marquez,Beauty,standalone,3955.71,36.29,109,0.4862,0.013,card_dominant,0.8238,0.4639,0.2982,0.4256
1119,King-Thomas,Fashion,pop_up,3470.58,36.92,94,0.4468,0.0152,digital_wallet_heavy,0.5877,0.6847,0.1808,0.3987
1120,"Stewart, Lee and Santiago",Fitness,pop_up,3618.53,34.46,105,0.4952,0.0541,card_dominant,0.687,0.4273,0.2069,0.406
1121,"Marquez, Keller and Robles",Home,home_based,982.19,23.39,42,0.3095,0.0509,card_dominant,0.8308,0.2227,0.1202,0.5267
1122,Hernandez Inc,Home,standalone,7764.88,61.63,126,0.619,0.0765,mixed,0.8232,0.4278,0.205,0.3781
1123,Humphrey-Wilson,Pets,pop_up,3506.86,35.07,100,0.69,0.0294,card_dominant,0.3317,0.4318,0.1383,0.2302
1124,Meza-Orozco,Fashion,mall,8722.83,56.28,155,0.6774,0.0509,digital_wallet_heavy,0.2544,0.6872,0.2966,0.2274
1125,Wallace Ltd,Home,mall,1066.07,23.18,46,0.2609,0.0589,card_dominant,0.5753,0.3548,0.2534,0.5023
1126,Flowers-Spence,Crafts,standalone,4487.54,37.4,120,0.5333,0.0579,card_dominant,0.3138,0.6555,0.2556,0.3135
1127,Small-Anderson,Tech_Accessories,pop_up,3941.16,38.26,103,0.5437,0.0765,card_dominant,0.708,0.5067,0.1546,0.3927
1128,Jenkins-Carr,Tech_Accessories,pop_up,1771.75,23.62,75,0.2933,0.0753,mixed,0.8062,0.2226,0.0566,0.5372
1129,Padilla-Bernard,Beauty,pop_up,4668.93,38.91,120,0.6667,0.0364,card_dominant,0.7674,0.6936,0.0876,0.3311
1130,Collins and Sons,Education,standalone,23124.69,81.42,284,0.7852,0.0516,card_dominant,0.4666,0.685,0.2605,0.2162
1131,Davis-King,Home,mall,10745.27,57.46,187,0.6578,0.0687,mixed,0.5281,0.4074,0.1184,0.2973
1132,"Salinas, Rhodes and Thomas",Wellness,home_based,923.81,26.39,35,0.2571,0.0139,mixed,0.8053,0.6065,0.2999,0.5367
1133,Potts-Hernandez,Fitness,home_based,4996.89,35.95,139,0.3957,0.0798,mixed,0.5888,0.5845,0.2862,0.4439
1134,"Pollard, Ryan and Brooks",Tech_Accessories,pop_up,3944.7,37.57,105,0.4,0.0695,mixed,0.3731,0.4253,0.0823,0.3955
1135,Farmer-Stewart,Tech_Accessories,standalone,1294.17,25.88,50,0.44,0.0768,card_dominant,0.6243,0.3143,0.2179,0.4279
1136,"Harrell, Taylor and Santos",Fitness,standalone,3134.39,36.88,85,0.6353,0.0533,mixed,0.4507,0.2568,0.2179,0.2885
1137,Garza-Smith,Pets,mall,3790.08,36.1,105,0.4476,0.0464,card_dominant,0.7406,0.4601,0.263,0.4382
1138,Fleming-Floyd,Education,home_based,1514.1,22.94,66,0.3485,0.0486,digital_wallet_heavy,0.5927,0.6383,0.1509,0.4589
1139,Ruiz-Evans,Home,mall,1538.7,24.82,62,0.3871,0.0194,card_dominant,0.2201,0.5776,0.2051,0.3563
1140,Harvey and Sons,Tech_Accessories,pop_up,1467.65,23.67,62,0.4839,0.0593,digital_wallet_heavy,0.3491,0.2682,0.0536,0.3457
1141,"Mejia, Robinson and Lopez",Pets,standalone,20481.97,81.93,250,0.944,0.0345,digital_wallet_heavy,0.6129,0.3961,0.1594,0.1609
1142,Bruce-Fisher,Home,mall,4436.28,36.66,121,0.5702,0.0733,card_dominant,0.4438,0.457,0.2459,0.3256
1143,Welch Ltd,Fitness,mall,1027.32,26.34,39,0.5385,0.0378,card_dominant,0.6355,0.6312,0.2874,0.3692
1144,"Adams, Ortiz and Brown",Education,mall,1694.41,22.9,74,0.5676,0.0203,digital_wallet_heavy,0.8486,0.4461,0.1146,0.392
1145,"Wu, Clay and Martin",Tech_Accessories,standalone,10833.24,58.24,186,0.7312,0.0421,digital_wallet_heavy,0.886,0.4463,0.1322,0.3242
1146,"Foster, Small and Burnett",Beauty,mall,1553.61,24.66,63,0.2381,0.0543,mixed,0.3681,0.2379,0.0822,0.4709
1147,"Melendez, Lewis and Young",Tech_Accessories,standalone,4391.57,37.22,118,0.6271,0.019,digital_wallet_heavy,0.3063,0.2694,0.2102,0.2534
1148,Duffy Ltd,Home,mall,1198.88,23.51,51,0.2157,0.0227,digital_wallet_heavy,0.442,0.6484,0.1685,0.4874
1149,Knight-Hill,Tech_Accessories,mall,8857.04,56.06,158,0.8038,0.0567,digital_wallet_heavy,0.3206,0.2961,0.0602,0.1792
1150,"Wu, Park and Jones",Crafts,home_based,4594.34,36.18,127,0.4724,0.0218,mixed,0.395,0.2885,0.0722,0.3493
1151,Santiago PLC,Beauty,standalone,4835.27,38.07,127,0.6378,0.0184,mixed,0.5225,0.3032,0.1411,0.2911
1152,"Acosta, Brown and Ortiz",Education,home_based,4106.74,39.87,103,0.466,0.0452,digital_wallet_heavy,0.6833,0.2197,0.2499,0.4172
1153,Skinner-Erickson,Beauty,home_based,1829.79,24.73,74,0.2568,0.054,card_dominant,0.2572,0.6368,0.2802,0.4392
1154,Williams and Sons,Home,standalone,4355.55,38.21,114,0.386,0.0143,mixed,0.3938,0.6031,0.2371,0.39
1155,Sanchez Group,Home,home_based,11211.59,57.79,194,0.6701,0.0229,digital_wallet_heavy,0.3465,0.3852,0.1711,0.2411
1156,"Jones, Turner and Raymond",Fashion,home_based,4429.59,35.72,124,0.621,0.0533,mixed,0.4582,0.4313,0.2369,0.2971
1157,Walker Group,Crafts,mall,1637.43,22.74,72,0.5139,0.0126,card_dominant,0.3767,0.5567,0.2738,0.3222
1158,Aguilar Group,Fitness,mall,4361.89,38.95,112,0.4286,0.0458,mixed,0.5725,0.2536,0.1619,0.4139
1159,Page-Rogers,Tech_Accessories,standalone,838.14,26.19,32,0.5,0.0473,card_dominant,0.3697,0.3346,0.1443,0.3381
1160,Salazar-Adkins,Tech_Accessories,home_based,746.82,21.97,34,0.3235,0.0114,digital_wallet_heavy,0.4255,0.3057,0.1319,0.4268
1161,"Smith, Harris and Clark",Tech_Accessories,home_based,17161.61,79.82,215,0.8791,0.0184,card_dominant,0.8234,0.4968,0.2198,0.2306
1162,Kramer and Sons,Fitness,standalone,4730.12,36.39,130,0.6462,0.0652,card_dominant,0.5489,0.2435,0.1843,0.3062
1163,Hendrix-Sullivan,Home,home_based,7409.23,59.27,125,0.8,0.0511,mixed,0.7218,0.4158,0.0819,0.2597
1164,Boyle-Jones,Fashion,pop_up,1166.5,25.92,45,0.4222,0.0299,card_dominant,0.4542,0.523,0.1927,0.3887
1165,"Oconnell, Soto and Gray",Pets,home_based,804.34,22.98,35,0.6571,0.0349,digital_wallet_heavy,0.8906,0.5029,0.1093,0.36
1166,"Gonzalez, Schultz and Sherman",Wellness,mall,1102.58,25.64,43,0.2791,0.0171,digital_wallet_heavy,0.307,0.323,0.0902,0.427
1167,Shaw-Wilson,Education,home_based,912.0,22.8,40,0.15,0.0231,digital_wallet_heavy,0.3996,0.2867,0.2742,0.5118
1168,"Townsend, Franco and Brown",Education,mall,3511.24,36.58,96,0.3438,0.0156,digital_wallet_heavy,0.5672,0.4052,0.2956,0.4462
1169,Herrera PLC,Pets,home_based,4538.31,38.46,118,0.5508,0.0178,card_dominant,0.4785,0.6847,0.2664,0.3256
1170,"Anderson, Chase and Simmons",Crafts,mall,1169.95,24.37,48,0.1667,0.0672,card_dominant,0.3805,0.2854,0.2172,0.5129
1171,Allen and Sons,Education,standalone,1613.66,24.83,65,0.3077,0.0751,digital_wallet_heavy,0.5897,0.4858,0.12,0.4866
1172,Harris-Jones,Fitness,home_based,832.33,26.01,32,0.375,0.0639,mixed,0.3309,0.3618,0.1564,0.3979
1173,Powers Ltd,Fashion,standalone,1318.01,24.41,54,0.3519,0.0455,digital_wallet_heavy,0.3697,0.2574,0.2027,0.4116
1174,Singleton-Cole,Beauty,home_based,1205.12,25.64,47,0.234,0.0302,digital_wallet_heavy,0.6069,0.2772,0.1703,0.5134
1175,Guzman PLC,Crafts,home_based,16184.23,77.81,208,0.7788,0.0473,card_dominant,0.2363,0.3683,0.0836,0.172
1176,"Schneider, Drake and Watts",Education,pop_up,7176.47,59.31,121,0.686,0.0144,digital_wallet_heavy,0.893,0.3612,0.2525,0.3399
1177,Martin-Hale,Crafts,mall,1477.33,25.04,59,0.2203,0.0278,mixed,0.6771,0.5801,0.1989,0.5336
1178,Harrell-Swanson,Food,pop_up,9915.0,57.31,173,0.7399,0.043,card_dominant,0.4883,0.3744,0.2824,0.2406
1179,Perez-Ramsey,Fashion,mall,1402.34,22.62,62,0.2419,0.0681,mixed,0.8755,0.2621,0.2327,0.5746
1180,"Dean, Deleon and Salazar",Crafts,home_based,4900.65,39.21,125,0.456,0.0757,card_dominant,0.3269,0.2332,0.2353,0.3601
1181,Jones-Erickson,Pets,home_based,1038.59,24.15,43,0.4419,0.0502,card_dominant,0.7893,0.2699,0.2488,0.452
1182,"Hawkins, Bowers and Walters",Crafts,pop_up,3818.3,37.07,103,0.5146,0.0241,card_dominant,0.3146,0.2821,0.2536,0.3128
1183,"Russo, Villarreal and Lloyd",Fitness,pop_up,3152.21,38.44,82,0.4268,0.0566,digital_wallet_heavy,0.5661,0.3794,0.2693,0.4168
1184,"Lopez, Rogers and Horne",Beauty,mall,1538.25,23.67,65,0.5846,0.0375,digital_wallet_heavy,0.7716,0.4196,0.1442,0.3733
1185,Mendoza-Jones,Pets,mall,9241.62,57.4,161,0.5839,0.0424,card_dominant,0.411,0.5738,0.1757,0.303
1186,"Mason, Jensen and Howard",Wellness,standalone,20307.12,80.27,253,0.747,0.0263,digital_wallet_heavy,0.8297,0.3919,0.1859,0.3003
1187,Bennett Inc,Fitness,mall,10395.54,58.4,178,0.6067,0.0735,digital_wallet_heavy,0.637,0.2584,0.285,0.3461
1188,Gutierrez Group,Wellness,standalone,7551.31,56.35,134,0.6045,0.0539,mixed,0.4344,0.2696,0.2485,0.3008
1189,"Snow, Mills and Williams",Education,standalone,23692.96,80.59,294,0.7347,0.0534,mixed,0.5734,0.6469,0.2471,0.2633
1190,"Parsons, Wilson and Bowen",Food,home_based,11021.06,58.01,190,0.7,0.0206,card_dominant,0.4182,0.3242,0.236,0.2398
1191,"Page, Cook and Adkins",Food,mall,3885.47,38.47,101,0.4851,0.0123,mixed,0.5989,0.5812,0.2692,0.3809
1192,"Bradford, Baker and Murphy",Beauty,standalone,3251.65,40.14,81,0.4568,0.0339,mixed,0.7749,0.2553,0.2616,0.4368
1193,Thomas Inc,Crafts,standalone,16296.13,79.88,204,0.8186,0.0189,digital_wallet_heavy,0.4781,0.5986,0.0875,0.192
1194,Gonzalez-Meadows,Fashion,mall,5216.5,39.52,132,0.5379,0.026,digital_wallet_heavy,0.7056,0.56,0.2103,0.38
