vendor_id,business_name,business_category,price_range,content_format,is_visual_product,image_engagement_score,short_form_video_affinity,premium_affinity_score,trend_sensitivity_score,search_intent_score,conversion_readiness_score,ingredient_awareness_score,routine_complexity_score,purchase_frequency,repeat_purchase_rate,repeat_customer_signal,transaction_conversion_signal,community_engagement_score,local_discovery_score,demand_score,avg_session_time_minutes,price_sensitivity_score,brand_loyalty_score,income_low_ratio,income_mid_ratio,income_high_ratio,age_18_24_ratio,age_25_34_ratio,age_35_50_ratio,age_50_plus_ratio,female_ratio,male_ratio,video_consumption_score,text_engagement_score,ugc_score,influencer_dependency_score,research_time_score,education_content_affinity,platform_fit_score,dense_slice_confidence,niche_signal_score,visual_content_signal,product_category_affinity
100011,Fitness_Brand_00011,Fitness,Mid,Video_First,0.4486,0.7828,0.7178,0.8586,0.5178,0.4414,0.6165,0.6912,0.5582,Medium,0.5945,0.6793,0.7289,0.6868,0.438,0.5944,9.3,0.4518,0.6259,0.2448,0.4445,0.2991,0.1971,0.299,0.3857,0.2491,0.6818,0.3419,0.6818,0.5354,0.5806,0.5572,0.6654,0.6562,0.6568,0.6312,0.4226,0.8018,0.583
100012,Fashion_Brand_00012,Fashion,Premium,Image_First,0.7871,0.908,0.8946,0.4439,1.0,0.5135,0.5328,0.7163,0.4948,Medium,0.5551,0.5812,0.4938,0.4828,0.5196,0.588,4.76,0.4052,0.5825,0.2341,0.4521,0.2498,0.342,0.4042,0.2675,0.1455,0.4428,0.5817,0.2393,0.2374,0.5997,0.4064,0.5898,0.5783,0.5416,0.3699,0.5509,0.7753,0.4618
100013,Tech_Accessories_Brand_00013,Tech_Accessories,Low,Text_First,0.5288,0.6228,0.3881,0.5037,0.4368,0.6976,0.4353,0.5805,0.4735,Low,0.5489,0.4276,0.483,0.4403,0.3738,0.58,10.1,0.5044,0.5396,0.3054,0.4566,0.2726,0.1931,0.3112,0.2666,0.2658,0.2806,0.6755,0.5202,0.6713,0.4614,0.511,0.8497,0.6575,0.6919,0.4582,0.4818,0.5214,0.6203
100014,Food_Brand_00014,Food,Premium,Text_First,0.5028,0.605,0.2297,0.4682,0.4067,0.5178,0.7218,0.473,0.4415,Medium,0.6287,0.6055,0.691,0.6182,0.5045,0.639,10.92,0.3931,0.4999,0.2079,0.4141,0.1645,0.1027,0.2803,0.3092,0.1548,0.5254,0.5027,0.4605,0.8712,0.714,0.4544,0.5418,0.8953,0.9384,0.453,0.4451,0.6507,0.4715
100015,Food_Brand_00015,Food,Premium,Text_First,0.4424,0.4794,0.4608,0.4117,0.3805,0.5254,0.4363,0.4296,0.5792,Medium,0.6078,0.5681,0.6278,0.5612,0.6042,0.564,10.54,0.6169,0.5328,0.329,0.4167,0.2815,0.2724,0.2499,0.2799,0.1912,0.4537,0.5321,0.655,0.5081,0.6813,0.4591,0.508,0.6594,0.7093,0.5375,0.5416,0.4402,0.5405
100016,Education_Brand_00016,Education,Mid,Text_First,0.5583,0.4664,0.1992,0.3415,0.3627,0.5166,0.6388,0.6805,0.6855,Medium,0.5839,0.5548,0.5666,0.6136,0.4503,0.5717,5.34,0.3723,0.5378,0.2732,0.4219,0.3079,0.2447,0.3015,0.3552,0.1724,0.4591,0.4998,0.565,0.9754,0.464,0.5202,0.7006,1.0,0.6063,0.5879,0.8351,0.6792,0.6409
100017,Wellness_Brand_00017,Wellness,Low,Text_First,0.5715,0.5946,0.467,0.6086,0.5056,0.4255,0.5078,0.7635,0.5571,High,0.5181,0.6518,0.601,0.5386,0.5624,0.5068,11.66,0.6034,0.6864,0.2109,0.4127,0.395,0.2562,0.2055,0.2596,0.2048,0.7629,0.341,0.4968,0.6048,0.4339,0.4271,0.722,0.7159,0.7478,0.4833,0.5766,0.6651,0.4288
100018,Tech_Accessories_Brand_00018,Tech_Accessories,Low,Video_First,0.309,0.7957,0.8112,0.6454,0.851,0.7563,0.4978,0.4187,0.5292,Low,0.4647,0.3396,0.5379,0.6095,0.6369,0.5862,2.9,0.417,0.6167,0.261,0.4749,0.2262,0.3475,0.3414,0.228,0.1313,0.4871,0.5293,0.4546,0.2992,0.4785,0.467,0.6901,0.5898,0.6476,0.52,0.7698,0.6551,0.5537
100019,Home_Brand_00019,Home,Mid,Image_First,0.4411,0.8651,0.5496,0.7179,0.4241,0.6839,0.6526,0.664,0.5375,Medium,0.5068,0.3619,0.5442,0.6954,0.4842,0.625,6.4,0.3558,0.546,0.2367,0.3598,0.3704,0.1672,0.2755,0.2985,0.1628,0.6254,0.2697,0.5858,0.6183,0.6476,0.5668,0.6476,0.5111,0.5747,0.353,0.6738,0.6437,0.4927
100020,Fitness_Brand_00020,Fitness,Mid,Video_First,0.5424,0.8461,0.8334,0.3348,0.6054,0.4772,0.5507,0.4132,0.4613,Medium,0.3363,0.4644,0.5813,0.6427,0.7502,0.5582,7.64,0.4376,0.6656,0.1927,0.3548,0.3909,0.2135,0.2435,0.3485,0.174,0.6243,0.3955,0.6415,0.349,0.5475,0.544,0.4151,0.4112,0.5628,0.4624,0.5964,0.6735,0.6607
100021,Tech_Accessories_Brand_00021,Tech_Accessories,Mid,Image_First,0.6237,0.5257,0.559,0.4864,0.4825,0.7375,0.4983,0.465,0.6012,Low,0.7681,0.7027,0.4476,0.822,0.5534,0.4203,10.13,0.4822,1.0,0.3181,0.4605,0.309,0.1891,0.3163,0.2611,0.1248,0.4687,0.5431,0.4951,0.5469,0.5581,0.55,0.8001,0.2354,0.5606,0.5237,0.6186,0.6322,0.5113
100022,Beauty_Brand_00022,Beauty,Mid,Image_First,0.8266,0.5405,0.6083,0.648,0.5178,0.7474,0.4595,0.5,0.5541,Medium,0.5869,0.4622,0.4481,0.4444,0.4716,0.5398,6.34,0.6113,0.5351,0.3381,0.4531,0.292,0.1282,0.278,0.2512,0.1597,0.3326,0.6373,0.4476,0.6479,0.628,0.5834,0.8239,0.5554,0.6263,0.3038,0.5658,0.4071,0.4685
100023,Crafts_Brand_00023,Crafts,Mid,Image_First,0.6272,0.8164,0.5003,0.7558,0.402,0.3536,0.4523,0.8802,0.8957,Low,0.3348,0.5427,0.6409,0.636,0.5034,0.7266,2.59,0.5297,0.4667,0.2579,0.4348,0.3419,0.3075,0.2242,0.2775,0.1767,0.65,0.2784,0.3947,0.5575,0.6987,0.4763,0.822,0.7326,0.7019,0.5152,0.4944,0.6711,0.4389
100024,Food_Brand_00024,Food,Mid,Image_First,0.627,0.8204,0.5667,0.6139,0.4668,0.4143,0.538,0.5099,0.5947,Low,0.651,0.5596,0.6585,0.4569,0.7662,0.6034,3.47,0.5639,0.4675,0.21,0.4687,0.3728,0.1533,0.3276,0.1977,0.1507,0.6088,0.2885,0.3807,0.1276,0.627,0.5399,0.5368,0.5933,0.7204,0.6943,0.5936,0.4845,0.5968
100025,Food_Brand_00025,Food,Low,Video_First,0.5339,0.5063,0.5839,0.6096,0.4218,0.9232,0.4408,0.4611,0.4853,High,0.7625,0.5652,0.5878,0.4383,0.4864,0.3962,8.19,0.3636,0.4416,0.2602,0.4282,0.2589,0.2139,0.3555,0.3459,0.1326,0.366,0.736,0.6741,0.6024,0.5698,0.4008,0.9,0.4367,0.6319,0.4926,0.5565,0.5085,0.6067
100026,Crafts_Brand_00026,Crafts,Premium,Text_First,0.5511,0.5897,0.5138,0.5613,0.5139,0.569,0.3454,0.5256,0.5729,Medium,0.5186,0.6227,0.4706,0.8741,0.4833,0.4903,7.39,0.6275,0.4217,0.2154,0.3586,0.3015,0.248,0.3034,0.4097,0.1644,0.5415,0.4491,0.6453,0.5367,0.8407,0.374,0.4729,0.6842,0.6326,0.4458,0.6568,0.6838,0.5646
100027,Education_Brand_00027,Education,Low,Text_First,0.376,0.6684,0.273,0.5295,0.5832,0.4194,0.4633,0.4104,0.5586,Medium,0.2628,0.5424,0.4492,0.4087,0.5077,0.4913,10.14,0.5003,0.5919,0.2355,0.4986,0.3199,0.1943,0.2793,0.2661,0.1825,0.4975,0.631,0.3308,0.8551,0.4219,0.5481,0.5973,0.7967,0.6464,0.4946,0.6184,0.584,0.5273
100028,Wellness_Brand_00028,Wellness,Mid,Text_First,0.4381,0.6969,0.4264,0.6011,0.5088,0.4451,0.4088,0.9231,0.6827,Medium,0.5537,0.5807,0.6249,0.4952,0.372,0.4529,9.74,0.5834,0.6459,0.2216,0.4173,0.3267,0.2618,0.3215,0.3285,0.2104,0.6125,0.4117,0.52,0.604,0.4621,0.5998,0.6828,0.7995,0.5342,0.6115,0.6927,0.7394,0.5155
100029,Fitness_Brand_00029,Fitness,Premium,Video_First,0.5426,0.5502,0.6933,0.4816,0.658,0.4594,0.6776,0.4318,0.3982,Medium,0.5764,0.5651,0.5884,0.6416,0.4581,0.5193,3.97,0.5348,0.7169,0.2787,0.4582,0.2593,0.2452,0.2678,0.3358,0.1547,0.5127,0.541,0.7439,0.2723,0.4733,0.5217,0.5417,0.6864,0.7123,0.6291,0.7705,0.4985,0.5155
100030,Fashion_Brand_00030,Fashion,Mid,Video_First,0.6749,0.6715,0.8022,0.4538,0.8154,0.5435,0.4008,0.5613,0.5368,Low,0.5198,0.7673,0.4609,0.4793,0.6062,0.4684,6.66,0.6096,0.4012,0.1965,0.4166,0.2788,0.2665,0.3245,0.2414,0.1692,0.4681,0.5229,0.4453,0.2007,0.575,0.4006,0.4246,0.5175,0.6568,0.5674,0.6524,0.6683,0.5997
100031,Fashion_Brand_00031,Fashion,Low,Image_First,0.6761,0.7209,0.6963,0.515,0.9309,0.3602,0.4757,0.5535,0.4006,Low,0.5734,0.4905,0.5916,0.5629,0.5572,0.5751,11.41,0.5779,0.5269,0.2775,0.366,0.3112,0.2799,0.3403,0.1866,0.0446,0.5115,0.5856,0.3516,0.4368,0.4665,0.5742,0.5436,0.3994,0.8734,0.4076,0.6397,0.5272,0.5306
100032,Food_Brand_00032,Food,Mid,Text_First,0.524,0.3033,0.6158,0.4581,0.474,0.4851,0.4389,0.4661,0.4685,Low,0.5395,0.4203,0.4732,0.4038,0.3392,0.2957,10.15,0.6242,0.6562,0.2698,0.4948,0.3372,0.2083,0.3061,0.3407,0.1806,0.4212,0.5177,0.4433,0.6029,0.6963,0.5385,0.4805,0.8042,0.7304,0.4619,0.5469,0.5986,0.4963
100033,Education_Brand_00033,Education,Mid,Text_First,0.5307,0.5063,0.499,0.4506,0.3213,0.4408,0.3261,0.4392,0.5606,High,0.819,0.6138,0.4342,0.6651,0.561,0.656,10.73,0.5572,0.8641,0.2477,0.3862,0.3479,0.2301,0.2526,0.3243,0.2086,0.4914,0.4915,0.4433,0.8289,0.4758,0.4468,0.8102,0.7502,0.7232,0.598,0.5089,0.6517,0.4827
100034,Fashion_Brand_00034,Fashion,Mid,Video_First,0.778,0.5214,0.9066,0.6756,0.8104,0.4784,0.4039,0.4748,0.4102,Medium,0.5069,0.4681,0.5256,0.5,0.5177,0.6241,7.71,0.646,0.471,0.2754,0.4501,0.3061,0.3761,0.3698,0.2245,0.1261,0.5591,0.558,0.6299,0.2009,0.4217,0.5197,0.4755,0.4282,0.7187,0.4743,0.763,0.5828,0.7133
100035,Beauty_Brand_00035,Beauty,Mid,Video_First,0.697,0.7717,0.7632,0.8017,0.9435,0.6466,0.4744,0.6432,0.5611,Medium,0.4866,0.4754,0.4635,0.4782,0.4076,0.3822,8.15,0.5453,0.5751,0.2831,0.3549,0.2983,0.2792,0.3464,0.2371,0.1231,0.4703,0.4917,0.6431,0.376,0.3792,0.3771,0.3609,0.6107,0.7827,0.5646,0.5986,0.6258,0.5348
100036,Crafts_Brand_00036,Crafts,Mid,Text_First,0.4736,0.6142,0.6742,0.5047,0.5519,0.626,0.5499,0.361,0.5119,Medium,0.3631,0.5066,0.5542,0.599,0.5455,0.5859,7.15,0.6572,0.5293,0.2746,0.4514,0.1801,0.2131,0.2291,0.3157,0.1738,0.4726,0.4731,0.4497,0.5192,0.9117,0.5516,0.6027,0.8393,0.5146,0.7464,0.5298,0.4987,0.475
100037,Fitness_Brand_00037,Fitness,Premium,Video_First,0.4822,0.7107,0.753,0.4956,0.8656,0.6239,0.6882,0.5618,0.632,High,0.5611,0.6369,0.5563,0.5298,0.6306,0.541,8.09,0.4269,0.3351,0.2787,0.4656,0.2849,0.2986,0.3387,0.1573,0.1339,0.6256,0.408,0.9072,0.1385,0.6886,0.6435,0.6348,0.5791,0.7318,0.4182,0.5521,0.6283,0.5251
100038,Crafts_Brand_00038,Crafts,Premium,Text_First,0.5805,0.4147,0.4695,0.4429,0.4788,0.5333,0.4889,0.5412,0.4553,High,0.4431,0.6213,0.5313,0.787,0.5379,0.5465,7.02,0.5537,0.5316,0.3113,0.4228,0.2963,0.1641,0.2764,0.2916,0.1499,0.5129,0.5106,0.6708,0.4249,0.8688,0.3611,0.5042,0.764,0.6679,0.614,0.5353,0.6156,0.6033
100039,Education_Brand_00039,Education,Premium,Text_First,0.6259,0.351,0.4632,0.4998,0.5019,0.8031,0.5612,0.5134,0.474,High,0.5807,0.6803,0.4644,0.4794,0.5558,0.5263,6.08,0.3495,0.5459,0.3123,0.4357,0.2618,0.2496,0.3014,0.2583,0.1307,0.2655,0.7328,0.6645,0.6343,0.5076,0.6486,0.7104,0.6932,0.6038,0.3772,0.5745,0.5401,0.4812
100040,Education_Brand_00040,Education,Premium,Text_First,0.4332,0.4879,0.3876,0.3672,0.4658,0.4003,0.3738,0.6188,0.5268,High,0.4491,0.4324,0.5586,0.6902,0.5251,0.4778,7.76,0.6077,0.4915,0.3273,0.507,0.2406,0.186,0.325,0.3129,0.181,0.4609,0.4488,0.5502,0.7563,0.7506,0.6183,0.7771,0.8176,0.5748,0.6865,0.6894,0.5257,0.4919
100041,Fitness_Brand_00041,Fitness,Low,Video_First,0.3734,0.267,0.7427,0.4868,0.5677,0.4351,0.7967,0.5593,0.3326,Medium,0.7563,0.6921,0.6588,0.3931,0.5163,0.6898,8.21,0.4068,0.5562,0.3266,0.4365,0.3141,0.1971,0.3079,0.3403,0.158,0.4177,0.5753,0.6604,0.5054,0.5855,0.4088,0.6498,0.8093,0.5399,0.7941,0.4721,0.5071,0.4968
100042,Beauty_Brand_00042,Beauty,Low,Image_First,0.6951,0.8509,0.5196,0.806,0.3888,0.4706,0.5252,0.5914,0.4042,Low,0.4503,0.6159,0.4651,0.399,0.6551,0.712,11.13,0.6516,0.5026,0.2749,0.4188,0.3771,0.1909,0.3859,0.3648,0.1755,0.6118,0.2823,0.606,0.1731,0.3577,0.4945,0.4393,0.4266,0.7316,0.5406,0.6301,0.7035,0.5843
100043,Pets_Brand_00043,Pets,Premium,Text_First,0.5219,0.43,0.3362,0.3299,0.4591,0.5187,0.5277,0.4014,0.4207,Low,0.6865,0.7015,0.5904,0.5864,0.4453,0.6973,10.65,0.4782,0.8221,0.2756,0.4245,0.2778,0.1743,0.344,0.3144,0.1945,0.5535,0.5636,0.6031,0.9603,0.3623,0.6467,0.5209,0.8676,0.7436,0.5972,0.5489,0.5424,0.488
100044,Education_Brand_00044,Education,Premium,Text_First,0.5219,0.5445,0.2066,0.5718,0.3327,0.5292,0.3377,0.2847,0.576,Medium,0.4769,0.5522,0.5843,0.5041,0.5503,0.5097,3.38,0.4516,0.4113,0.2803,0.3772,0.3342,0.2508,0.2228,0.3449,0.2692,0.521,0.5138,0.4436,0.5631,0.4229,0.3987,0.7499,1.0,0.5498,0.6702,0.5063,0.566,0.5349
100045,Wellness_Brand_00045,Wellness,Low,Text_First,0.4287,0.5762,0.3985,0.5829,0.5445,0.6015,0.5139,0.6897,0.5182,Medium,0.4582,0.4316,0.4938,0.5345,0.4632,0.5685,9.79,0.504,0.5371,0.308,0.4039,0.3673,0.2688,0.2569,0.2695,0.2215,0.6302,0.385,0.3823,0.4433,0.5659,0.4823,0.7233,0.7905,0.6376,0.6585,0.5141,0.535,0.4366
100046,Wellness_Brand_00046,Wellness,Mid,Video_First,0.5965,0.4654,0.7284,0.3752,0.518,0.3003,0.7633,0.4023,0.613,Low,0.4945,0.4484,0.6498,0.5548,0.5236,0.6571,10.29,0.4047,0.6914,0.2088,0.3508,0.2891,0.264,0.3147,0.234,0.0862,0.5051,0.4759,0.7296,0.5487,0.5789,0.4398,0.5762,0.5245,0.6531,0.557,0.5375,0.5259,0.5499
100047,Fitness_Brand_00047,Fitness,Mid,Video_First,0.4138,0.496,0.6956,0.4831,0.5447,0.544,0.6736,0.5342,0.4165,Medium,0.504,0.4731,0.643,0.4735,0.5264,0.5952,5.05,0.5283,0.6885,0.3339,0.3896,0.3589,0.1971,0.2889,0.3543,0.1658,0.4428,0.5271,0.7606,0.4072,0.4061,0.5782,0.3327,0.6332,0.7067,0.543,0.4189,0.5318,0.7169
100048,Crafts_Brand_00048,Crafts,Mid,Text_First,0.4307,0.5129,0.6648,0.5834,0.5206,0.434,0.4397,0.4212,0.6034,Medium,0.6237,0.502,0.5609,0.8757,0.3671,0.2676,9.33,0.4716,0.6228,0.371,0.4304,0.2804,0.2046,0.2672,0.3655,0.1719,0.5208,0.4414,0.445,0.5009,0.9211,0.4902,0.4823,0.6353,0.6109,0.6736,0.3195,0.6077,0.3374
100049,Education_Brand_00049,Education,Mid,Text_First,0.3877,0.7511,0.5441,0.8119,0.4889,0.5493,0.551,0.81,0.7783,Low,0.4437,0.5284,0.5708,0.5529,0.4917,0.6255,6.47,0.4641,0.5244,0.2479,0.4407,0.2587,0.2251,0.2529,0.3749,0.2191,0.6619,0.3263,0.4564,0.5854,0.5863,0.6157,0.6342,0.9601,0.5702,0.4837,0.7689,0.5919,0.5385
100050,Tech_Accessories_Brand_00050,Tech_Accessories,Premium,Image_First,0.5238,0.9365,0.5681,0.3564,0.4335,0.5477,0.5594,0.4276,0.5277,Low,0.4363,0.5364,0.5768,0.5587,0.8085,0.4782,5.94,0.4764,0.3862,0.2062,0.4194,0.3375,0.2728,0.265,0.3251,0.1688,0.6521,0.3308,0.3155,0.2656,0.4948,0.3744,0.6046,0.4623,0.7313,0.5975,0.5416,0.5758,0.7291
100051,Crafts_Brand_00051,Crafts,Low,Video_First,0.462,0.3481,0.7943,0.4405,0.4611,0.46,0.5589,0.5543,0.4269,Low,0.413,0.6503,0.5564,0.684,0.3761,0.681,5.83,0.6088,0.4843,0.2631,0.3948,0.2968,0.2642,0.3721,0.2733,0.0456,0.5056,0.5428,0.6488,0.4995,0.6608,0.4771,0.5229,0.5495,0.7956,0.7109,0.5437,0.5641,0.6335
100052,Tech_Accessories_Brand_00052,Tech_Accessories,Low,Text_First,0.5173,0.4408,0.3853,0.4619,0.4592,0.8544,0.5439,0.4339,0.4873,Medium,0.5727,0.4202,0.6632,0.3384,0.4703,0.5538,6.43,0.4237,0.3111,0.3617,0.4462,0.2959,0.2493,0.3004,0.2905,0.1831,0.3144,0.5548,0.551,0.6556,0.564,0.7802,0.7897,0.566,0.5671,0.5753,0.7914,0.4504,0.7408
100053,Fitness_Brand_00053,Fitness,Low,Video_First,0.5443,0.7764,0.796,0.3851,0.8053,0.5052,0.5995,0.5636,0.6072,Medium,0.455,0.5346,0.6175,0.5282,0.5117,0.5739,10.53,0.4908,0.4338,0.2402,0.5336,0.2666,0.3424,0.3613,0.2522,0.123,0.4488,0.5123,0.7564,0.2251,0.5407,0.3912,0.6084,0.5726,0.5571,0.5885,0.744,0.7155,0.5811
100054,Fitness_Brand_00054,Fitness,Mid,Video_First,0.5197,0.4668,0.7297,0.55,0.4468,0.4238,0.7233,0.4702,0.4541,Low,0.4428,0.6108,0.5937,0.3338,0.4614,0.6489,8.57,0.4963,0.4819,0.2825,0.4443,0.2369,0.3308,0.4553,0.2531,0.1664,0.4747,0.4487,0.564,0.5192,0.4174,0.6558,0.5936,0.5926,0.6742,0.8099,0.6443,0.4452,0.6825
100055,Pets_Brand_00055,Pets,Low,Text_First,0.5609,0.6009,0.1618,0.4653,0.3319,0.5256,0.5232,0.4261,0.4847,Low,0.6582,0.6179,0.5561,0.8612,0.5506,0.6413,11.1,0.6253,0.7249,0.2537,0.4328,0.3349,0.1898,0.3167,0.2942,0.2707,0.4282,0.487,0.6102,0.7728,0.5538,0.3448,0.574,0.9488,0.7963,0.5132,0.5005,0.5674,0.4348
100056,Education_Brand_00056,Education,Mid,Text_First,0.4859,0.5594,0.383,0.464,0.4073,0.6959,0.3988,0.5983,0.3671,Medium,0.6822,0.5338,0.6038,0.403,0.5339,0.4378,10.16,0.4204,0.6802,0.217,0.4522,0.2298,0.21,0.2748,0.3079,0.1825,0.4594,0.4571,0.5485,0.6234,0.5618,0.4864,0.6928,0.668,0.7345,0.5548,0.5746,0.5529,0.6623
100057,Beauty_Brand_00057,Beauty,Low,Image_First,0.8973,0.7806,0.4659,0.7386,0.436,0.6874,0.5388,0.7452,0.8084,Medium,0.5671,0.6333,0.518,0.4654,0.463,0.4998,10.72,0.5121,0.4982,0.2207,0.4537,0.298,0.1322,0.364,0.3281,0.2013,0.6683,0.2709,0.6764,0.5074,0.5033,0.2854,0.7789,0.5919,0.8132,0.5815,0.5002,0.5968,0.4338
100058,Crafts_Brand_00058,Crafts,Mid,Image_First,0.4663,0.8714,0.4502,0.4348,0.442,0.4771,0.4322,0.5344,0.6012,High,0.5352,0.5219,0.687,0.4035,0.7868,0.5665,8.86,0.6051,0.3238,0.2314,0.4588,0.3568,0.2364,0.2889,0.3045,0.1984,0.6506,0.3348,0.3787,0.391,0.8121,0.6479,0.5174,0.8186,0.6482,0.566,0.5224,0.6873,0.3405
100059,Fashion_Brand_00059,Fashion,Low,Image_First,0.8956,0.7466,0.4318,0.3455,0.6566,0.3937,0.5027,0.6061,0.6802,High,0.7081,0.4916,0.5299,0.701,0.6281,0.5665,7.11,0.4336,0.8206,0.279,0.4164,0.277,0.2256,0.2783,0.2849,0.2052,0.4843,0.4919,0.511,0.5458,0.5051,0.3991,0.4024,0.4518,0.6252,0.4864,0.8034,0.5568,0.5073
100060,Food_Brand_00060,Food,Premium,Video_First,0.4248,0.7828,0.7037,0.5532,0.8704,0.2744,0.5268,0.5126,0.4744,High,0.8388,0.686,0.5596,0.6748,0.3428,0.4292,10.2,0.4876,0.3827,0.2636,0.5128,0.3271,0.4239,0.3497,0.2404,0.094,0.5148,0.4881,0.5026,0.1391,0.5984,0.5412,0.468,0.5085,0.494,0.5784,0.5396,0.7444,0.5242
100061,Fitness_Brand_00061,Fitness,Premium,Video_First,0.4118,0.6253,0.6341,0.4249,0.2961,0.3632,0.6806,0.5906,0.3586,High,0.6505,0.6055,0.6583,0.4684,0.4795,0.6195,4.77,0.4336,0.5343,0.2443,0.4245,0.273,0.3015,0.4037,0.2172,0.0191,0.4924,0.553,0.5237,0.5605,0.365,0.3669,0.5289,0.5644,0.5902,0.4905,0.6865,0.4415,0.5205
